"model_name","model_type","origin","set_number","set_number_variant","creature_name","creature_type_code","creature_subtype_code","creature_size","base_diameter_inches","num_owned"
"Warhorse","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 1",4,,"Horse",2,,"large",2,1
"Wolf","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",20,,"Wolf",2,,"medium",1,3
"Wolf","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",9,,"Wolf",2,,"medium",1,1
"Bush Viper Quetzalcoatl","3D Printed Unpainted","LabradoriteWolf",,,"Couatl",3,,"huge",3,1
"Couatl","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",37,,"Couatl",3,,"medium",1,1
"Couatl","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",9,,"Couatl",3,,"medium",1,1
"Couatl Invisible","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",37,,"Couatl",3,,"medium",1,1
"Deva","Wizkids Pre-painted","Icons of the Realms - Snowbound",15,,"Deva",3,55,"medium",1,1
"Emissary of Erebos","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",33,,"Emissary Animal",3,,"huge",3,1
"Emissary of Purphoros","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",32,,"Emissary Animal",3,,"huge",3,2
"Emissary of Thassa","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",27,,"Emissary Animal",3,,"large",2,2
"Ki-rin","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",33,,"Ki-rin",3,,"huge",3,2
"Pegasus","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",5,,"Pegasus",3,,"large",2,1
"Pegasus","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",28,,"Pegasus",3,,"large",2,1
"Planetar Angel","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",29,,"Planetar",3,55,"large",2,2
"Radiant Idol","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",32,,"Radiant Idol",3,55,"large",2,2
"Unicorn","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",27,,"Unicorn",3,,"large",2,2
"Animated Armor","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",6,,"Animated Armor",4,58,"medium",1,3
"Animated Door","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",24,,"Animated Door",4,58,"medium",1,2
"Anvilwrought Raptor","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",4,,"Anvilwrought Raptor",4,,"small",0.75,2
"Cadavar Collector","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",41,,"Cadavar Collector",4,57,"large",2,1
"Chardalyn Pseudodragon","Wizkids Pre-painted","Icons of the Realms - Snowbound",20,,"Chardalyn Pseudodragon",4,,"tiny",0.75,2
"Clay Golem","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",26,,"Clay Golem",4,57,"large",2,1
"Demos Magen","Wizkids Pre-painted","Icons of the Realms - Snowbound",2,,"Magen",4,,"medium",1,2
"Duergar Hammerer","Wizkids Pre-painted","Icons of the Realms - Snowbound",6,,"Duergar Hammerer",4,,"medium",1,4
"Galvan Magen","Wizkids Pre-painted","Icons of the Realms - Snowbound",3,,"Magen",4,,"medium",1,2
"Homunculus","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",17,,"Homunculus",4,,"medium",1,1
"Hypnos Magen","Wizkids Pre-painted","Icons of the Realms - Snowbound",4,,"Magen",4,,"medium",1,2
"Iron Cobra","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",7,,"Iron Cobra",4,,"medium",1,1
"Iron Defender","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",4,,"Iron Defender",4,57,"medium",1,2
"Iron Golem","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",28,,"Iron Golem",4,57,"large",2,1
"Living Spell Cloud Kill","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",29,,"Living Spell",4,,"large",2,2
"Living Spell Lightning Bolt","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",28,,"Living Spell",4,,"large",2,1
"Marut","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",42,,"Marut",4,56,"large",2,1
"Mickey the Flesh Golem","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",31,,"Flesh Golem",4,57,"large",2,2
"Monodrone","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",10,,"Monodrone",4,56,"medium",1,1
"Pentadrone","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",28,,"Pentadrone",4,56,"large",2,2
"Quadrone","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",18,,"Quadrone",4,56,"medium",1,1
"Shield Guardian","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",27,,"Shield Guardian",4,57,"large",2,1
"Snow Golem","Wizkids Pre-painted","Icons of the Realms - Snowbound",28,,"Snow Golem",4,57,"large",2,2
"Steel Predator","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",29,,"Steel Predator",4,,"large",2,2
"Stone Golem","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",30,,"Stone Golem",4,57,"large",2,1
"Tomb Tapper","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",42,,"Tomb Tapper",4,,"huge",3,1
"Tridrone","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",35,,"Tridrone",4,56,"medium",1,1
"Veneranda","Wizkids Pre-painted","Icons of the Realms - Snowbound",43,,"Helmed Horror",4,,"large",2,1
"Warforged Titan","Wizkids Pre-painted","Icons of the Realms - Snowbound",34,,"Warforged Titan",4,,"huge",3,2
"Adult Black Dragon","Wizkids Pre-painted","Icons of the Realms - Adult White Dragon",,,"Black Dragon",5,59,"huge",4,1
"Adult Blue Dragon","Wizkids Pre-painted","Icons of the Realms - Adult White Dragon",,,"Blue Dragon",5,59,"huge",4,1
"Adult Green Dragon","Wizkids Pre-painted","Icons of the Realms - Adult White Dragon",,,"Green Dragon",5,59,"huge",4,1
"Adult Red Dragon","Wizkids Pre-painted","Icons of the Realms - Adult White Dragon",,,"Red Dragon",5,59,"huge",4,1
"Adult White Dragon","Wizkids Pre-painted","Icons of the Realms - Adult White Dragon",,,"White Dragon",5,59,"huge",4,1
"Ambush Drake","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",10,,"Ambush Drake",5,,"medium",1,2
"Arveiaturace","Wizkids Pre-painted","Icons of the Realms - Gargantuan White Dragon Arveiaturace",,,"White Dragon",5,59,"gargantuan",8,1
"Black Shadow Dragon","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",30,,"Shadow Dragon",5,,"large",2,2
"Blue Dragon Wyrmling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Blue Dragon Wyrmling",,,"Blue Dragon",5,59,"medium",1,1
"Brass Dragon","Wizkids Pre-painted","Icons of the Realms - Elemental Evil",42,,"Brass Dragon",5,60,"large",2,1
"Brass Dragon Wyrmling","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",23,,"Brass Dragon",5,60,"medium",1,2
"Bronze Dragon","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",24,,"Bronze Dragon",5,60,"large",2,1
"Bronze Dragon Wyrmling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Bronze Dragon Wyrmling & Pile of Sea Found Treasure",,,"Bronze Dragon",5,60,"medium",1,1
"Copper Dragon","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",32,,"Copper Dragon",5,60,"large",2,2
"Copper Dragon Wyrmling","Wizkids Pre-painted","Icons of the Realms - Rage of Demons",41,,"Copper Dragon",5,60,"medium",1,1
"Faerie Dragon","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",1,,"Faerie Dragon",5,62,"tiny",0.5,5
"Faerie Dragon Invisible","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",1,,"Faerie Dragon",5,62,"tiny",0.5,1
"Gold Dragon","Wizkids Pre-painted","Icons of the Realms - Rage of Demons",46,,"Gold Dragon",5,60,"large",2,1
"Gold Dragon Wyrmling","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",38,,"Gold Dragon",5,60,"medium",1,1
"Gold Dragon Wyrmling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Gold Dragon Wyrmling & Half Eaten Treasure Pile",,,"Gold Dragon",5,60,"medium",1,1
"Green Dragon","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",31,,"Green Dragon",5,59,"large",2,1
"Green Dragon Wyrmling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Green Dragon Wyrmling & Afflicted Elf",,,"Green Dragon",5,59,"medium",1,1
"Guard Drake","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",22,,"Guard Drake",5,,"medium",1,1
"Otto","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",26,,"Faerie Dragon",5,62,"large",2,1
"Red Dragon Wyrmling","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",39,,"Red Dragon",5,59,"medium",1,1
"Red Dragon Wyrmling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Red Dragon Wyrmling",,,"Red Dragon",5,59,"medium",1,1
"Silver Dragon Wyrmling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Silver Dragon Wyrmling & Halfling",,,"Silver Dragon",5,60,"medium",1,1
"White Dragon Wyrmling","Wizkids Pre-painted","Icons of the Realms - Snowbound",23,,"White Dragon",5,59,"medium",1,1
"White Dragon Wyrmling","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",24,,"White Dragon",5,59,"medium",1,1
"Wyvern","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",29,,"Wyvern",5,,"large",2,2
"Young Blue Dragon","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",43,,"Blue Dragon",5,59,"large",3,1
"Young Red Dragon","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",44,,"Red Dragon",5,59,"large",3,2
"Young Silver Dragon","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Young Silver Dragon",,,"Silver Dragon",5,60,"large",3,1
"Air Elemental","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",6,,"Air Elemental",6,,"large",2,1
"Arclight Phoenix","Wizkids Pre-painted","Icons of the Realms - Guildmaster''s Guide to Ravnica",18,,"Arclight Phoenix",6,,"medium",1,1
"Chwinga with Icicle Staff","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",16,,"Chwinga",6,,"tiny",0.75,2
"Chwinga with Snowball","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",3,,"Chwinga",6,,"tiny",0.75,2
"Dao","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",25,"A","Dao",6,64,"large",2,1
"Dao","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",25,"B","Dao",6,64,"large",2,1
"Dust Mephit","Wizkids Pre-painted","Icons of the Realms - Snowbound",11,,"Dust Mephit",6,65,"small",0.75,2
"Earth Elemental","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",26,,"Earth Elemental",6,,"large",2,2
"Earth Elemental","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",8,,"Earth Elemental",6,,"large",2,1
"Fire Elemental","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",28,,"Fire Elemental",6,,"large",2,2
"Fire Elemental","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",7,,"Fire Elemental",6,,"large",2,1
"Flail Snail","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",38,,"Flail Snail",6,,"huge",3,1
"Frost Salamander","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",33,,"Frost Salamander",6,,"huge",3,2
"Gargoyle","Wizkids Pre-painted","Icons of the Realms - Snowbound",16,,"Gargoyle",6,,"medium",1,2
"Ice Mephit","Wizkids Pre-painted","Icons of the Realms - Snowbound",12,,"Ice Mephit",6,65,"small",0.75,2
"Marid","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",29,,"Marid",6,64,"large",2,2
"Mud Mephit","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",2,"B","Mud Mephit",6,65,"small",0.75,2
"The Brittle Maiden ","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",35,,"Auril",6,,"medium",1,1
"Water Elemental","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",25,,"Water Elemental",6,,"large",2,3
"Xorn","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Xorn",1,,"Xorn",6,,"medium",1,1
"Xorn","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Xorn",2,,"Xorn",6,,"medium",1,1
"Zephyr Hawk","Wizkids Pre-painted","Pathfinder Battles - Bestiary Unleashed",6,,"Phoenix",6,,"medium",1,1
"Alseid","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",8,,"Alseid",7,87,"medium",1,3
"Bheur Hag","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",22,,"Bheur Hag",7,66,"medium",1,1
"Boggle","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",5,,"Boggle",7,,"small",0.75,4
"Darkling","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",15,,"Darkling",7,,"small",0.75,1
"Darkling","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",2,,"Darkling",7,,"small",0.75,4
"Dryad","Wizkids Pre-painted","Icons of the Realms - Snowbound",18,,"Dryad",7,87,"medium",1,2
"Dryad","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",11,,"Dryad",7,87,"medium",1,1
"Dryad","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",7,,"Dryad",7,87,"medium",1,1
"Dusk Hag","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",20,,"Dusk Hag",7,66,"medium",1,4
"Fairy King","3D Printed Unpainted","Cast n Play",,,"Archfey",7,,"medium",1,1
"Green Hag","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",17,,"Green Hag",7,66,"medium",1,1
"Green Hag","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",10,,"Green Hag",7,66,"medium",1,1
"Korred","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",11,,"Korred",7,,"small",0.75,8
"Lampad","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",5,,"Lampad",7,87,"medium",1,2
"Maud Chiselbone","Wizkids Pre-painted","Icons of the Realms - Snowbound",35,,"Green Hag",7,66,"medium",1,1
"Meenlock","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",8,,"Meenlock",7,,"small",0.75,1
"Naiad","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",15,,"Naiad",7,87,"medium",1,2
"Oread","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",21,,"Oread",7,87,"medium",1,2
"Quickling","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",3,,"Quickling",7,,"tiny",0.75,1
"Redcap","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",1,,"Redcap",7,,"small",0.75,2
"Satyr","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 2",11,,"Satyr",7,,"medium",1,1
"Satyr","3D Printed Unpainted","Printed Obsession",,,"Satyr",7,,"medium",1,1
"Satyr Firedancer","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",24,"A","Satyr",7,,"medium",1,1
"Satyr Thornbearer","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",24,"B","Satyr",7,,"medium",1,1
"Sea Hag","Wizkids Pre-painted","Icons of the Realms - Snowbound",39,,"Sea Hag",7,66,"medium",1,1
"Sea Hag","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",22,,"Sea Hag",7,66,"medium",1,2
"Valenar Horse","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",42,,"Valenar Animal",7,,"large",2,1
"Abhorrent Overlord","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",41,,"Abhorrent Overlord",8,,"large",2,1
"Abyssal Chicken","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",9,,"Abyssal Chicken",8,67,"tiny",0.75,2
"Amnizu","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",36,,"Amnizu",8,68,"medium",1,1
"Armanite","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",32,"A","Armanite",8,67,"large",2,2
"Armanite","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",32,"B","Armanite",8,67,"large",2,1
"Babau","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",2,,"Babau",8,67,"medium",1,5
"Babau","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",14,,"Babau",8,67,"medium",1,2
"Barghest","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",26,,"Barghest",8,,"large",2,2
"Blue Abishai","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",39,,"Blue Abishai",8,68,"medium",1,1
"Bulezau","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",19,,"Bulezau",8,67,"medium",1,3
"Cambion","Wizkids Pre-painted","Icons of the Realms - Snowbound",13,,"Cambion",8,,"medium",1,2
"Cambion Devil","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",13,,"Cambion",8,,"medium",1,1
"Cambion Devil","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",17,,"Cambion",8,,"medium",1,2
"Dhergoloth","Wizkids Pre-painted","Icons of the Realms - Snowbound",22,,"Dhergoloth",8,69,"medium",1,1
"Erinyes","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",34,,"Erinyes",8,68,"medium",1,1
